model,seed,corruption,accuracy,NLL,ECE,Brier,predictive_entropy,initial_predictive_entropy,prediction_change_rate,mean_gate,mean_relative_effective_update
C,1,snow,0.82236,0.7434520734214782,0.10951309473931789,0.28567791770458223,0.2093183544551692,0.20863682170955056,0.014160000000000016,,0.07428754369741059
C,1,frost,0.79426,0.8928695327472687,0.128109486694932,0.32945459592342374,0.23582991155022465,0.23558287285498342,0.013480000000000047,,0.07418347940660087
C,1,fog,0.88994,0.4352865136408806,0.06658502985268831,0.17632819072246553,0.13681733007172325,0.13648747325513105,0.009160000000000012,,0.07322649829605322
C,1,brightness,0.93894,0.23983464182376862,0.03412042909622193,0.09890501718878746,0.08625176801668392,0.08694486073641747,0.006579999999999986,,0.07114461960797225
C,1,contrast,0.7823,0.864624867105484,0.13138301607072353,0.3385984157371521,0.26895135444932794,0.2601699440606372,0.01621999999999999,,0.07751456628598832
C,1,elastic_transform,0.84922,0.5820636661624908,0.08675115316152572,0.2392963236093521,0.1988344499775447,0.1987436572893639,0.014020000000000032,,0.07504643613129824
C,1,pixelate,0.7612599999999999,1.1086420849609375,0.16111606506973505,0.3894774527835846,0.2355195080168362,0.23484621747866652,0.014440000000000008,,0.07408226582638955
C,1,jpeg_compression,0.79936,0.8043506755638123,0.1193200733795762,0.3201624361896515,0.24886766955948902,0.24818159625532046,0.016859999999999986,,0.07605280580943007
C,1,speckle_noise,0.6394,1.6899666288936137,0.24100935785949232,0.5793161992055923,0.35120329673269357,0.35347400778214566,0.017859999999999966,,0.07540705469054519
C,1,gaussian_blur,0.73772,1.031249172449112,0.15424561917126178,0.40493109847068787,0.3278468062649263,0.3208033643666981,0.021019999999999973,,0.07935589363686321
C,1,spatter,0.83806,0.693357170381546,0.10239792728304863,0.2633263134050369,0.18486623502847271,0.18224593597686733,0.013920000000000021,,0.07355847766409397
C,1,saturate,0.9224,0.3070010285794735,0.043581315538585186,0.1246997747219354,0.10816388264821697,0.10818718030290707,0.007320000000000016,,0.07165861182286264
C,2,gaussian_noise,0.39188,3.7012491720199585,0.5046910934075713,1.0771244606781005,0.3047034855389164,0.31278515623677117,0.014339999999999974,,0.0725209671822831
C,2,shot_noise,0.52982,2.6258469724082945,0.37164011434763666,0.8128617403888703,0.29018444314777736,0.29641788359494936,0.014379999999999993,,0.07245895392606247
C,2,impulse_noise,0.52924,2.1539583157157898,0.30992691279232504,0.7405994444561005,0.472273848036906,0.4687381029264437,0.025819999999999975,,0.0756409824090257
C,2,defocus_blur,0.82952,0.7133417958843709,0.11126771111190319,0.2758709332805872,0.18197706388203427,0.18103471228258045,0.012799999999999988,,0.07237659891856357
C,2,glass_blur,0.55986,1.9917667086029054,0.2949619279187918,0.7069693342781067,0.4332095555064152,0.42897025418584,0.022,,0.0765736393081946
C,2,motion_blur,0.78374,0.9101919906234741,0.14159456361174583,0.3496955913591385,0.2272739383220172,0.2268836007780634,0.013499999999999979,,0.07339970688599391
C,2,zoom_blur,0.78988,0.8732050915437937,0.13129620076149703,0.3387330713072419,0.2408728033389093,0.24002928456687894,0.015199999999999991,,0.07428142771155354
C,2,snow,0.82648,0.7204207131004333,0.10626292295306922,0.2787547703790665,0.206153093762754,0.20693677407338984,0.012240000000000006,,0.07218623191478035
C,2,frost,0.77852,0.9927619906616211,0.14434342957109214,0.35844180059432984,0.2315815521263698,0.23391192255819915,0.01319999999999999,,0.0721139691210534
C,2,fog,0.88548,0.47082666420757774,0.07158374802619219,0.18536943737313152,0.13324698739775923,0.13345860971313903,0.008079999999999999,,0.07047379060984703
C,2,brightness,0.93818,0.24094537482738496,0.035640092056393624,0.09939247005939483,0.08360447897864738,0.08448449858010455,0.004980000000000007,,0.06886081246184415
C,2,contrast,0.7671,0.9843026162838936,0.14755211948722602,0.3670829511284828,0.2563745199210348,0.2499238542254409,0.018399999999999993,,0.07430153833522574
C,2,elastic_transform,0.8480800000000001,0.6000337608790398,0.08927267465144396,0.24173258875370024,0.19197307355989585,0.19271049665320605,0.012759999999999994,,0.07239844174859812
C,2,pixelate,0.74924,1.1798760582828522,0.16933668444275857,0.40688770928859713,0.2446725616337033,0.24495143932265462,0.014059999999999984,,0.07186686943383484
C,2,jpeg_compression,0.7949,0.825767883682251,0.12474807344406842,0.3262906912994385,0.2437719520092383,0.24336307868047385,0.015580000000000016,,0.07341542173519965
